COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Georeference
Unknown,Allegany,Bolivar,31003700000000,Dunn J 19,UM,NL,-78.16228,42.059299,NO,9,POINT (-78.16228 42.059299)
Unknown,Allegany,Bolivar,31003600000000,Phillips Farm 33,UL,IW,-78.11233,42.084409,YES,9,POINT (-78.11233 42.084409)
"Hogan Energy, Inc.",Allegany,Clarksville,31003700000000,Burger 12,UL,OD,-78.2428,42.11214,NO,9,POINT (-78.2428 42.11214)
Unknown,Allegany,Alma,31003700000000,Balcerak G 42,UM,NL,-78.0643,42.059692,NO,9,POINT (-78.0643 42.059692)
Unknown,Wayne,Galen,31117000000000,Clyde Well,UM,DW,-76.87849,43.09409,NO,8,POINT (-76.87849 43.09409)
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 52,UN,NL,-78.1499,42.071259,NO,9,POINT (-78.1499 42.071259)
"BDH Oil, Inc.",Cattaraugus,Olean,31009600000000,James Lease 34,UL,OD,-78.45931,42.026952,YES,9,POINT (-78.45931 42.026952)
Unknown,Allegany,Bolivar,31003700000000,OR 58,UL,NL,-78.09424,42.06803,YES,9,POINT (-78.09424 42.06803)
Finance Oil & Gas,Erie,Collins,31029100000000,Jake Jimmerson R-40,UN,GD,-78.97496,42.523085,NO,9,POINT (-78.97496 42.523085)
Phoenix Gas Co.,Seneca,Seneca Falls,31099000000000,Well 8,UM,DH,-76.78444,42.91398,NO,8,POINT (-76.78444 42.91398)
Unknown,Allegany,Bolivar,31003700000000,PYR 98,UM,NL,-78.17915,42.08881,NO,9,POINT (-78.17915 42.08881)
Unknown,Allegany,Bolivar,31003700000000,Dunn J 68,UM,NL,-78.15859,42.059696,NO,9,POINT (-78.15859 42.059696)
Unknown,Allegany,Wirt,31003700000000,Gage 1,UL,OD,-78.15499,42.08876,NO,9,POINT (-78.15499 42.08876)
Unknown,Allegany,Bolivar,31003700000000,Dunn P 35,UM,NL,-78.15347,42.059692,NO,9,POINT (-78.15347 42.059692)
Unknown,Erie,Amherst,31029000000000,20,UM,GD,-78.80707,43.0068,NO,9,POINT (-78.80707 43.0068)
NY Gas & Elec.,Erie,Lancaster,31029000000000,Meininghaus,UM,GD,-78.62627,42.92113,NO,9,POINT (-78.62627 42.92113)
Unknown,Allegany,Bolivar,31003700000000,PG 36,UN,NL,-78.07781,42.062664,NO,9,POINT (-78.07781 42.062664)
Unknown,Cattaraugus,Allegany,31009700000000,KC 243,UN,NL,-78.51039,42.014671,NO,9,POINT (-78.51039 42.014671)
Unknown,Cattaraugus,Allegany,31009700000000,KC 587,UN,NL,-78.52645,42.003227,NO,9,POINT (-78.52645 42.003227)
"Alden Aurora Gas Company, Inc.",Erie,Alden,31029000000000,Gerwell Frank 1,UM,GD,-78.51825,42.91329,NO,9,POINT (-78.51825 42.91329)
Unknown,Allegany,Genesee,31003700000000,PPP 41,UL,NL,-78.21725,42.084181,YES,9,POINT (-78.21725 42.084181)
Unknown,Allegany,Bolivar,31003700000000,Dunn P 26,UN,NL,-78.15296,42.060097,NO,9,POINT (-78.15296 42.060097)
"Stengel, J.C.",Allegany,Amity,31003000000000,Hills Estate W9,UN,OD,-78.0707,42.1935,NO,9,POINT (-78.0707 42.1935)
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley 181,UL,OD,-77.70638,42.09027,NO,8,POINT (-77.70638 42.09027)
Unknown,Cattaraugus,Allegany,31009700000000,KC 458,UN,NL,-78.5223,42.015526,NO,9,POINT (-78.5223 42.015526)
"Tjhung, Frank T.",Allegany,Wellsville,31003700000000,GPS 1127,UL,IW,-77.84665,42.10073,YES,9,POINT (-77.84665 42.10073)
Unknown,Allegany,Willing,31003600000000,Burnt Hill 7,UL,OD,-77.91229,42.079377,YES,9,POINT (-77.91229 42.079377)
Unknown,Allegany,Bolivar,31003600000000,Phillips Hill U1,UL,OD,-78.08426,42.077376,YES,9,POINT (-78.08426 42.077376)
Unknown,Allegany,Bolivar,31003700000000,Dunn P 78,UM,NL,-78.15575,42.058609,NO,9,POINT (-78.15575 42.058609)
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 5,UN,NL,-78.14832,42.068386,NO,9,POINT (-78.14832 42.068386)
Geneva Gas,Seneca,Junius,31099000000000,Serven 1,UM,DH,-76.91391,42.95513,NO,8,POINT (-76.91391 42.95513)
Unknown,Allegany,Wirt,31003700000000,Webb E 23,UM,NL,-78.14777,42.09779,NO,9,POINT (-78.14777 42.09779)
"Republic Light, Heat & Power",Chautauqua,Sheridan,31013000000000,Williams S P and N S 2,UL,GD,-79.23709,42.47384,YES,9,POINT (-79.23709 42.47384)
Unknown,Cattaraugus,Allegany,31009700000000,KC 639,UN,NL,-78.52831,42.004448,NO,9,POINT (-78.52831 42.004448)
Sandy Creek Oil & Gas,Oswego,Sandy Creek,31075000000000,Sherman 1,UM,GD,-76.11569,43.63121,NO,7,POINT (-76.11569 43.63121)
Unknown,Allegany,Bolivar,31003700000000,DF 85,UN,NL,-78.13114,42.037495,NO,9,POINT (-78.13114 42.037495)
Unknown,Allegany,Alma,31003700000000,Fisher J 27,UN,NL,-78.0612,42.066841,NO,9,POINT (-78.0612 42.066841)
Unknown,Allegany,Bolivar,31003700000000,DF 54,UN,NL,-78.12611,42.035931,NO,9,POINT (-78.12611 42.035931)
Unknown,Allegany,Bolivar,31003700000000,OR 8,UM,NL,-78.08933,42.067009,NO,9,POINT (-78.08933 42.067009)
Moore Producing Co.,Allegany,Bolivar,31003700000000,Curtis Farm 151,UL,IW,-78.18451,42.08106,NO,9,POINT (-78.18451 42.08106)
"B.C.R. Development, Inc.",Allegany,Alma,31003700000000,Lot 86 012,UL,IW,-77.96904,42.034479,YES,9,POINT (-77.96904 42.034479)
Unknown,Allegany,Bolivar,31003700000000,PYR 104,UM,NL,-78.17923,42.086521,NO,9,POINT (-78.17923 42.086521)
Unknown,Cattaraugus,Allegany,31009700000000,KC 550,UM,NL,-78.52515,42.001465,NO,9,POINT (-78.52515 42.001465)
Meridian Gas Co.,Onondaga,Lysander,31067000000000,Westfall 1,UM,GD,-76.29828,43.15659,NO,7,POINT (-76.29828 43.15659)
Moose Oil Co.,Allegany,Bolivar,31003600000000,McCarthy 6,UL,OD,-78.11358,42.022345,NO,9,POINT (-78.11358 42.022345)
Valley Drilling Corp. of America,Chautauqua,Busti,31013200000000,D Eckstrom 6,UL,OD,-79.2966,42.0057,NO,9,POINT (-79.2966 42.0057)
Unknown,Cattaraugus,Allegany,31009700000000,KC 181,UN,NL,-78.50195,42.019291,NO,9,POINT (-78.50195 42.019291)
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Hamilton 129,UL,OD,-77.70203,42.0894,NO,8,POINT (-77.70203 42.0894)
"Fralick, C.W. & Assoc.",Steuben,Hartsville,31101000000000,Flint 1,UM,DW,-77.68155,42.25384,NO,8,POINT (-77.68155 42.25384)
